eventid,year,month,day,approxdate,extended,resolution,country,province,city,latitude,longitude,specificity,near_city,location,summary,crit1,crit2,crit3,doubted,alternative,multiple_attacks,success,suicide,attacktype1,attacktype2,attacktype3,targtype1,targsubtype1,corp1,target1,natlty1,targtype2,targsubtype2,corp2,target2,natlty2,targtype3,targsubtype3,corp3,target3,natlty3,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,lone_wolf,nperps,nperpcap,claimed,claimmode,claim2,claimmode2,claim3,claimmode3,compclaim,weaptype1,weapsubtype1,weaptype2,weapsubtype2,weaptype3,weapsubtype3,weaptype4,weapsubtype4,weapdetail,nkill,nkillus,nkillperp,nwound,nwoundus,nwoundperp,property,propextent,propextent,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,vehiclehij,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,nreleased,addnotes,scite1,scite2,scite3,intlog,intideo,intmisc,related
199105200007,1991,5,20,,0,,Mali,Timbuktu,Goundam,16.416667,-3.666667,1.0,0,,,1,1,1,-9,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Village/City/Town/Suburb,Govt,Town of Goundam,Mali,,,,,,,,,,,Tuareg extremists,Rebels,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,3.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199106020010,1991,6,2,,0,,Niger,Tillaberi,Yassan,14.916667,0.85,1.0,0,,,1,1,1,-9,,0.0,1,0,Armed Assault,,,Government (General),Government Building/Facility/Office,govt,Border Control Post,Niger,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,6.0,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,2.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199111010004,1991,11,1,,0,,Mali,Gao,Gao,16.273971,-0.041066,1.0,0,,,1,1,1,-9,,0.0,1,0,Bombing/Explosion,,,Private Citizens & Property,Vehicles/Transportation,,Vehicle,Mali,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Explosives,Unknown Explosive Type,,,,,,,Explosive,3.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199111090008,1991,11,9,,0,,Mali,Timbuktu,Goundam,16.416667,-3.666667,1.0,0,,,1,1,0,1,Insurgency/Guerilla Action,0.0,1,0,Armed Assault,,,Military,Military Unit/Patrol/Convoy,Military,Unit,Mali,,,,,,,,,,,Tuareg extremists,Rebels,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,11.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199111140007,1991,11,14,,0,,Mali,Gao,Ansongo,15.666816,0.508533,1.0,0,,,1,1,1,-9,,0.0,1,0,Armed Assault,,,Government (General),Government Building/Facility/Office,Govt,Official Vehicle Convoy,Mali,,,,,,,,,,,Tuareg extremists,,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,2.0,,,7.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199112050007,1991,12,5,,0,,Mali,Unknown,Unknown,,,5.0,0,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Village/City/Town/Suburb,Govt,Town of Korakawa,Mali,,,,,,,,,,,Tuareg extremists,Rebels,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,2.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199112090002,1991,12,9,,0,,Burkina Faso,Centre,Ouagadougou,12.347598,-1.538065,1.0,0,,,1,1,1,0,,0.0,0,0,Assassination,,,Government (General),Politician or Political Party Movement/Meeting/Rally,Groupes des Democrates Revolutionaires,Gen Secy for external affairs Tall Moctar,Burkina Faso,,,,,,,,,,,Unknown,,,,,,,0,,,,,,,,,,Firearms,Handgun,,,,,,,Pistol,0.0,,,1.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199112100001,1991,12,10,,0,,Burkina Faso,Centre,Ouagadougou,12.347598,-1.538065,1.0,0,,,1,1,1,0,,0.0,1,0,Assassination,,,Government (General),Politician or Political Party Movement/Meeting/Rally,Burkinabe labor party,secy gen. clement ouedraogo,Burkina Faso,,,,,,,,,,,Unknown,,,,,,,0,2.0,,,,,,,,,Explosives,Grenade,,,,,,,Grenade,1.0,,,1.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199112110010,1991,12,11,,0,,Mali,Timbuktu,TImbuktu,16.77532,-3.008265,1.0,0,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Village/City/Town/Suburb,Govt,City of Timbuktu,Mali,,,,,,,,,,,Tuareg extremists,Separatists,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,12.0,,,7.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199112120006,1991,12,12,,0,,Niger,Agadez,Iferouane,19.0625,8.42,1.0,1,,,1,1,0,1,Insurgency/Guerilla Action,0.0,1,0,Armed Assault,,,Military,Military Unit/Patrol/Convoy,Military,Army Patrol,Niger,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,3.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
